,ident,echelon,period,grade
264596,1432397,5,2011-01-31,794
264601,1432423,5,2011-01-31,795
264611,1432425,6,2011-01-31,795
264621,1432442,5,2011-01-31,793
264635,1432448,5,2011-01-31,793
264647,1432451,5,2011-01-31,793
264661,1432511,5,2011-01-31,793
264673,1432517,5,2011-01-31,793
264687,1432553,5,2011-01-31,793
264701,1432556,5,2011-01-31,793
264710,1432561,5,2011-01-31,794
264719,1432569,5,2011-01-31,793
264729,1432580,5,2011-01-31,794
264737,1432582,5,2011-01-31,794
264749,1432600,6,2011-01-31,793
264758,1432612,5,2011-01-31,793
264767,1432613,5,2011-01-31,794
264780,1432627,6,2011-01-31,795
264792,1432638,5,2011-01-31,793
264802,1432646,6,2011-01-31,795
264816,1432656,5,2011-01-31,793
264827,1432659,5,2011-01-31,793
264841,1432660,5,2011-01-31,793
264853,1432663,5,2011-01-31,794
264856,1432664,5,2011-01-31,795
264867,1432672,5,2011-01-31,793
264878,1432686,5,2011-01-31,794
264889,1432691,4,2011-01-31,794
264893,1432693,4,2011-01-31,793
264899,1433277,7,2011-01-31,794
264906,1433289,4,2011-01-31,793
264920,1433298,5,2011-01-31,793
264934,1433301,9,2011-01-31,793
264948,1433310,5,2011-01-31,793
264962,1433324,8,2011-01-31,793
264966,1433344,5,2011-01-31,793
264976,1433348,8,2011-01-31,793
264990,1433363,5,2011-01-31,793
264999,1433367,8,2011-01-31,794
265010,1433386,7,2011-01-31,793
265024,1433401,5,2011-01-31,793
265038,1433407,7,2011-01-31,793
265050,1433427,5,2011-01-31,793
265057,1433428,8,2011-01-31,793
265069,1433432,10,2011-01-31,793
265083,1433435,5,2011-01-31,793
265095,1433451,5,2011-01-31,794
265099,1433454,5,2011-01-31,795
265107,1433455,9,2011-01-31,794
265111,1433503,5,2011-01-31,793
265125,1433512,4,2011-01-31,793
265131,1433517,5,2011-01-31,795
265141,1433536,5,2011-01-31,794
265154,1433552,7,2011-01-31,793
265168,1433554,5,2011-01-31,793
265182,1433600,5,2011-01-31,793
265191,1433607,8,2011-01-31,795
265199,1433620,6,2011-01-31,793
265207,1433667,6,2011-01-31,793
265219,1433677,9,2011-01-31,793
265226,1433682,8,2011-01-31,793
265240,1433684,5,2011-01-31,793
265254,1433719,5,2011-01-31,793
265267,1433725,6,2011-01-31,795
265271,1433727,5,2011-01-31,793
265285,1433787,5,2011-01-31,794
265296,1433794,5,2011-01-31,793
265305,1433835,5,2011-01-31,793
265319,1433844,9,2011-01-31,793
265330,1433864,9,2011-01-31,793
265340,1433865,5,2011-01-31,794
265351,1433870,5,2011-01-31,793
265357,1433879,9,2011-01-31,795
265365,1433898,6,2011-01-31,793
265372,1433972,5,2011-01-31,793
265383,1434012,5,2011-01-31,794
265392,1434084,5,2011-01-31,794
265395,1434088,5,2011-01-31,795
265399,1434096,9,2011-01-31,793
265413,1434177,7,2011-01-31,793
265427,1434331,5,2011-01-31,793
265436,1434432,5,2011-01-31,793
265442,1434515,5,2011-01-31,793
265456,1435254,5,2011-01-31,793
265462,1435260,5,2011-01-31,795
265476,1435262,5,2011-01-31,793
265490,1435268,5,2011-01-31,793
265497,1435275,5,2011-01-31,793
265511,1435281,5,2011-01-31,793
265518,1435289,5,2011-01-31,795
265532,1435292,5,2011-01-31,793
265546,1435297,5,2011-01-31,793
265560,1435298,5,2011-01-31,793
265571,1435302,6,2011-01-31,793
265585,1435304,5,2011-01-31,793
265599,1435305,5,2011-01-31,793
265610,1435307,6,2011-01-31,793
265621,1435308,5,2011-01-31,793
265636,1435323,7,2011-01-31,795
265642,1435328,5,2011-01-31,795
265646,1435341,5,2011-01-31,793
265654,1435342,5,2011-01-31,793
265668,1435344,5,2011-01-31,793
265674,1435354,5,2011-01-31,795
265683,1435364,5,2011-01-31,795
265694,1435367,6,2011-01-31,793
265704,1435381,5,2011-01-31,795
265718,1435382,5,2011-01-31,793
265727,1435383,6,2011-01-31,793
265738,1435385,5,2011-01-31,794
265752,1435391,6,2011-01-31,794
265761,1435396,6,2011-01-31,795
265773,1435398,5,2011-01-31,793
265787,1435405,6,2011-01-31,793
265799,1435410,5,2011-01-31,793
265811,1435414,6,2011-01-31,794
265815,1435429,5,2011-01-31,793
265820,1435430,6,2011-01-31,795
265834,1435442,5,2011-01-31,793
265845,1435443,5,2011-01-31,795
265852,1435452,6,2011-01-31,794
265858,1435481,5,2011-01-31,795
265871,1435482,5,2011-01-31,793
265885,1435492,7,2011-01-31,793
265891,1435499,5,2011-01-31,793
265897,1435500,4,2011-01-31,793
265907,1435515,4,2011-01-31,794
265912,1435516,5,2011-01-31,793
265918,1435527,3,2011-01-31,796
265927,1435554,5,2011-01-31,793
265937,1435567,5,2011-01-31,793
265947,1435570,5,2011-01-31,793
265961,1435573,6,2011-01-31,794
265972,1435581,5,2011-01-31,793
265984,1435605,5,2011-01-31,794
265996,1435612,6,2011-01-31,794
266001,1435624,5,2011-01-31,794
266015,1435630,5,2011-01-31,793
266022,1435650,6,2011-01-31,795
266027,1435678,5,2011-01-31,795
266038,1435684,6,2011-01-31,793
266051,1435691,6,2011-01-31,793
266057,1435703,5,2011-01-31,795
266067,1435705,5,2011-01-31,794
266074,1435707,4,2011-01-31,794
266085,1435713,4,2011-01-31,794
266092,1435719,4,2011-01-31,794
266098,1435727,5,2011-01-31,795
266103,1435729,5,2011-01-31,795
266116,1435742,6,2011-01-31,793
266125,1435743,5,2011-01-31,793
266132,1435756,6,2011-01-31,794
266137,1435758,6,2011-01-31,793
266149,1435763,6,2011-01-31,794
266158,1435784,5,2011-01-31,795
266168,1435785,5,2011-01-31,794
266180,1435789,6,2011-01-31,794
266184,1436270,5,2011-01-31,793
266191,1436275,5,2011-01-31,793
266205,1436281,6,2011-01-31,793
266214,1436282,8,2011-01-31,793
266228,1436283,8,2011-01-31,793
266240,1436295,5,2011-01-31,793
266254,1436296,5,2011-01-31,793
266268,1436309,5,2011-01-31,793
266276,1436311,5,2011-01-31,793
266283,1436316,4,2011-01-31,793
266294,1436317,8,2011-01-31,793
266308,1436326,8,2011-01-31,793
266317,1436363,9,2011-01-31,795
266327,1436385,5,2011-01-31,794
266341,1436396,5,2011-01-31,793
266354,1436397,4,2011-01-31,793
266368,1436401,6,2011-01-31,793
266376,1436403,9,2011-01-31,794
266382,1436414,5,2011-01-31,793
266396,1436417,10,2011-01-31,795
266401,1436442,8,2011-01-31,794
266406,1436444,9,2011-01-31,795
266413,1436448,4,2011-01-31,793
266420,1436466,8,2011-01-31,795
266426,1436484,5,2011-01-31,795
266438,1436503,7,2011-01-31,793
266452,1436505,6,2011-01-31,793
266466,1436506,5,2011-01-31,793
266473,1436516,5,2011-01-31,793
266487,1436524,5,2011-01-31,793
266501,1436527,6,2011-01-31,793
266510,1436544,6,2011-01-31,793
266521,1436546,8,2011-01-31,793
266535,1436582,6,2011-01-31,793
266547,1436598,5,2011-01-31,794
266551,1436601,5,2011-01-31,795
266562,1436606,5,2011-01-31,793
266576,1436643,6,2011-01-31,793
266583,1436648,5,2011-01-31,793
266594,1436657,6,2011-01-31,793
266605,1436685,5,2011-01-31,793
266619,1436725,7,2011-01-31,793
266633,1436750,5,2011-01-31,793
266644,1436774,8,2011-01-31,793
266658,1436785,8,2011-01-31,793
266672,1436793,5,2011-01-31,793
266683,1436796,5,2011-01-31,793
266692,1436802,4,2011-01-31,793
266706,1436821,8,2011-01-31,793
266720,1436830,8,2011-01-31,793
266733,1436836,5,2011-01-31,793
266739,1436858,8,2011-01-31,793
266750,1436934,5,2011-01-31,793
266758,1437102,7,2011-01-31,795
266769,1437185,5,2011-01-31,794
266780,1437334,6,2011-01-31,793
266794,1437401,5,2011-01-31,793
266805,1437447,5,2011-01-31,793
266819,1437531,5,2011-01-31,793
266833,1437573,5,2011-01-31,793
266845,1437789,7,2011-01-31,794
266852,1437790,5,2011-01-31,793
266864,1437792,6,2011-01-31,795
266878,1437793,6,2011-01-31,795
266892,1437796,5,2011-01-31,793
266902,1437799,5,2011-01-31,795
266914,1437802,5,2011-01-31,794
266923,1437804,5,2011-01-31,794
266933,1437811,6,2011-01-31,795
266938,1437814,5,2011-01-31,795
266944,1437819,5,2011-01-31,795
266955,1437828,5,2011-01-31,793
266970,1437829,5,2011-01-31,794
266982,1437837,6,2011-01-31,794
266990,1437841,5,2011-01-31,793
267000,1437845,5,2011-01-31,794
267013,1437853,6,2011-01-31,795
267024,1437855,4,2011-01-31,794
267033,1437877,6,2011-01-31,794
267045,1437897,5,2011-01-31,793
267057,1437900,5,2011-01-31,794
267063,1437909,7,2011-01-31,795
267072,1437932,5,2011-01-31,793
267085,1437938,5,2011-01-31,794
267092,1437940,5,2011-01-31,794
267099,1437948,6,2011-01-31,795
267113,1437950,4,2011-01-31,794
267124,1437970,5,2011-01-31,794
267136,1437991,5,2011-01-31,793
267152,1438002,5,2011-01-31,794
267164,1438035,5,2011-01-31,793
267171,1438143,5,2011-01-31,793
267182,1438297,5,2011-01-31,793
267196,1438298,5,2011-01-31,793
267204,1438299,5,2011-01-31,795
267217,1438300,5,2011-01-31,793
267231,1438309,5,2011-01-31,793
267238,1438319,6,2011-01-31,793
267250,1438327,3,2011-01-31,793
267256,1438341,9,2011-01-31,794
267267,1438344,5,2011-01-31,793
267271,1438354,5,2011-01-31,795
267283,1438355,5,2011-01-31,793
267294,1438356,6,2011-01-31,793
267305,1438449,5,2011-01-31,793
267317,1438454,5,2011-01-31,793
267331,1438481,5,2011-01-31,793
267342,1438486,5,2011-01-31,793
267351,1438498,5,2011-01-31,795
267358,1438512,5,2011-01-31,793
267365,1438559,5,2011-01-31,795
267377,1438577,6,2011-01-31,793
267383,1438580,5,2011-01-31,795
267397,1438593,5,2011-01-31,793
267412,1438595,6,2011-01-31,794
267422,1438835,5,2011-01-31,793
267428,1438851,5,2011-01-31,794
267436,1438853,10,2011-01-31,793
267445,1438860,5,2011-01-31,793
267452,1438864,10,2011-01-31,795
267461,1438872,5,2011-01-31,793
267468,1438890,5,2011-01-31,793
267482,1438892,4,2011-01-31,793
267496,1438900,5,2011-01-31,793
267507,1438902,6,2011-01-31,793
267516,1438924,5,2011-01-31,794
267529,1438940,10,2011-01-31,793
267541,1438962,5,2011-01-31,793
267555,1438971,5,2011-01-31,793
267561,1438996,5,2011-01-31,793
267574,1438998,5,2011-01-31,793
267585,1438999,5,2011-01-31,793
267599,1439000,11,2011-01-31,793
267613,1439002,5,2011-01-31,793
267627,1439010,6,2011-01-31,795
267638,1439012,5,2011-01-31,793
267650,1439026,7,2011-01-31,795
267661,1439037,4,2011-01-31,793
267672,1439048,4,2011-01-31,793
267683,1439049,5,2011-01-31,793
267697,1439064,7,2011-01-31,793
267711,1439072,10,2011-01-31,793
267722,1439088,5,2011-01-31,793
267736,1439095,6,2011-01-31,793
267749,1439100,5,2011-01-31,793
267763,1439133,5,2011-01-31,793
267775,1439138,5,2011-01-31,795
267788,1439183,5,2011-01-31,793
267796,1439218,8,2011-01-31,794
267808,1439268,5,2011-01-31,793
267813,1439368,5,2011-01-31,793
267824,1439394,5,2011-01-31,793
267838,1439549,4,2011-01-31,793
267844,1439747,6,2011-01-31,795
267850,1439753,4,2011-01-31,793
267864,1439760,4,2011-01-31,793
267872,1439769,8,2011-01-31,795
267886,1439771,5,2011-01-31,793
267893,1439774,7,2011-01-31,795
267907,1439779,6,2011-01-31,793
267921,1439780,5,2011-01-31,793
267931,1439804,4,2011-01-31,793
267945,1439805,5,2011-01-31,793
267954,1439821,7,2011-01-31,795
267967,1439832,5,2011-01-31,793
267981,1439838,6,2011-01-31,793
267984,1439849,7,2011-01-31,795
267996,1439860,4,2011-01-31,794
268008,1439861,6,2011-01-31,795
268013,1439863,5,2011-01-31,795
268019,1439867,5,2011-01-31,795
268028,1439868,6,2011-01-31,793
268042,1439871,5,2011-01-31,793
268051,1439875,6,2011-01-31,794
268057,1439881,4,2011-01-31,793
268071,1439890,4,2011-01-31,793
268078,1439900,5,2011-01-31,795
268085,1439914,5,2011-01-31,793
268099,1439915,5,2011-01-31,793
268110,1439916,5,2011-01-31,793
268124,1439929,4,2011-01-31,793
268131,1439930,5,2011-01-31,793
268141,1439934,6,2011-01-31,795
268151,1439937,5,2011-01-31,794
268158,1439938,7,2011-01-31,794
268168,1439954,5,2011-01-31,795
268184,1439962,4,2011-01-31,794
268190,1439972,7,2011-01-31,795
268201,1439975,5,2011-01-31,793
268217,1439976,5,2011-01-31,794
268226,1439977,5,2011-01-31,795
268236,1439978,5,2011-01-31,794
268247,1440005,5,2011-01-31,793
268261,1440008,5,2011-01-31,793
268271,1440009,5,2011-01-31,795
268284,1440010,6,2011-01-31,793
268289,1440013,6,2011-01-31,795
268301,1440017,4,2011-01-31,793
268313,1440029,4,2011-01-31,793
268327,1440031,5,2011-01-31,793
268341,1440037,6,2011-01-31,793
268352,1440038,4,2011-01-31,793
268358,1440040,7,2011-01-31,793
268364,1440041,6,2011-01-31,795
268378,1440045,5,2011-01-31,793
268387,1440048,5,2011-01-31,793
268394,1440059,7,2011-01-31,793
268403,1440069,6,2011-01-31,795
268412,1440075,4,2011-01-31,793
268426,1440077,4,2011-01-31,793
268440,1440081,5,2011-01-31,794
268452,1440095,5,2011-01-31,793
268463,1440101,4,2011-01-31,793
268475,1440102,5,2011-01-31,794
268482,1440114,5,2011-01-31,793
268496,1440122,5,2011-01-31,793
268500,1440124,5,2011-01-31,795
268510,1440148,7,2011-01-31,795
268519,1440162,5,2011-01-31,795
268530,1440166,5,2011-01-31,794
268544,1440173,6,2011-01-31,793
268558,1440175,5,2011-01-31,793
268572,1440191,5,2011-01-31,793
268579,1440193,4,2011-01-31,793
268590,1440195,5,2011-01-31,793
268603,1440202,6,2011-01-31,795
268615,1440207,6,2011-01-31,795
268620,1440212,5,2011-01-31,795
268627,1440218,6,2011-01-31,795
268636,1440228,8,2011-01-31,793
268650,1440233,4,2011-01-31,793
268657,1440239,5,2011-01-31,793
268671,1440260,5,2011-01-31,793
268680,1440271,4,2011-01-31,793
268694,1440272,5,2011-01-31,793
268701,1440274,6,2011-01-31,795
268712,1440279,4,2011-01-31,793
268716,1440301,5,2011-01-31,793
268727,1440305,5,2011-01-31,793
268739,1440325,5,2011-01-31,794
268748,1440331,6,2011-01-31,795
268753,1440332,5,2011-01-31,795
268764,1440338,6,2011-01-31,793
268775,1440354,5,2011-01-31,794
268786,1440382,5,2011-01-31,794
268796,1440383,5,2011-01-31,794
268805,1440390,5,2011-01-31,795
268810,1440394,6,2011-01-31,795
268822,1440398,5,2011-01-31,795
268834,1440424,5,2011-01-31,793
268848,1440463,6,2011-01-31,795
268858,1440466,5,2011-01-31,793
268864,1440479,5,2011-01-31,795
268876,1440485,7,2011-01-31,793
268883,1440496,5,2011-01-31,795
268894,1440505,4,2011-01-31,793
268906,1440512,5,2011-01-31,795
268917,1440517,5,2011-01-31,794
268926,1440532,6,2011-01-31,795
268936,1440536,6,2011-01-31,795
268947,1440558,5,2011-01-31,793
268956,1440564,5,2011-01-31,793
268970,1440588,5,2011-01-31,793
268976,1440594,5,2011-01-31,795
268990,1440599,4,2011-01-31,794
268998,1440600,5,2011-01-31,795
269003,1440603,5,2011-01-31,795
269014,1440605,5,2011-01-31,793
269020,1440609,5,2011-01-31,795
269030,1440614,5,2011-01-31,794
269040,1440632,5,2011-01-31,794
269047,1440649,4,2011-01-31,793
269059,1440651,5,2011-01-31,794
269065,1440677,5,2011-01-31,793
269072,1440680,5,2011-01-31,793
269077,1440686,5,2011-01-31,793
269088,1440695,4,2011-01-31,793
269100,1440698,4,2011-01-31,793
269104,1440699,5,2011-01-31,793
269118,1440702,5,2011-01-31,793
269126,1440709,5,2011-01-31,795
269136,1440720,4,2011-01-31,793
269142,1440725,5,2011-01-31,795
269156,1440737,4,2011-01-31,793
269165,1440746,5,2011-01-31,793
269172,1440748,5,2011-01-31,793
269186,1441360,9,2011-01-31,793
269194,1441361,6,2011-01-31,793
269201,1441362,5,2011-01-31,793
269207,1441369,4,2011-01-31,796
269217,1441372,5,2011-01-31,793
269227,1441379,5,2011-01-31,793
269238,1441381,4,2011-01-31,793
269242,1441386,10,2011-01-31,793
269255,1441409,7,2011-01-31,795
269262,1441432,5,2011-01-31,793
269276,1441435,8,2011-01-31,793
269282,1441436,5,2011-01-31,793
269291,1441442,5,2011-01-31,793
269305,1441462,5,2011-01-31,793
269319,1441466,6,2011-01-31,793
269333,1441475,5,2011-01-31,793
269347,1441477,5,2011-01-31,793
269361,1441489,4,2011-01-31,793
269375,1441497,5,2011-01-31,793
269388,1441516,7,2011-01-31,794
269401,1441549,5,2011-01-31,793
269411,1441550,5,2011-01-31,794
269421,1441561,11,2011-01-31,793
269432,1441592,5,2011-01-31,793
269438,1441595,6,2011-01-31,793
269446,1441618,7,2011-01-31,794
269454,1441621,4,2011-01-31,793
269461,1441626,5,2011-01-31,793
269475,1441643,8,2011-01-31,793
269489,1441658,5,2011-01-31,793
269500,1441661,5,2011-01-31,793
269514,1441662,5,2011-01-31,793
269521,1441668,7,2011-01-31,795
269527,1441696,10,2011-01-31,794
269536,1441700,6,2011-01-31,793
269548,1441702,7,2011-01-31,793
269559,1441705,5,2011-01-31,794
269566,1441711,8,2011-01-31,795
269578,1441720,7,2011-01-31,793
269584,1441722,6,2011-01-31,796
269598,1441766,8,2011-01-31,793
269612,1441769,5,2011-01-31,793
269619,1441773,8,2011-01-31,793
269631,1441781,4,2011-01-31,794
269640,1441782,8,2011-01-31,793
269651,1441785,11,2011-01-31,794
269657,1441797,5,2011-01-31,793
269666,1441823,5,2011-01-31,793
269673,1441826,5,2011-01-31,793
269687,1441856,7,2011-01-31,793
269701,1441860,7,2011-01-31,793
269710,1441890,5,2011-01-31,793
269720,1441898,6,2011-01-31,794
269725,1441903,6,2011-01-31,795
269735,1441922,5,2011-01-31,793
269746,1441941,4,2011-01-31,793
269760,1441942,5,2011-01-31,793
269774,1441953,5,2011-01-31,793
269777,1441970,8,2011-01-31,794
269790,1441978,5,2011-01-31,793
269799,1441979,4,2011-01-31,793
269813,1442011,6,2011-01-31,793
269822,1442039,7,2011-01-31,794
269831,1442048,4,2011-01-31,793
269836,1442049,5,2011-01-31,793
269850,1442085,6,2011-01-31,793
269864,1442101,5,2011-01-31,793
269869,1442107,4,2011-01-31,793
269883,1442114,5,2011-01-31,793
269890,1442125,5,2011-01-31,793
269897,1442129,4,2011-01-31,793
269904,1442201,5,2011-01-31,793
269915,1442216,5,2011-01-31,793
269929,1442236,5,2011-01-31,793
269936,1442271,5,2011-01-31,793
269948,1442297,5,2011-01-31,793
269959,1442312,5,2011-01-31,793
269973,1442383,7,2011-01-31,793
269983,1442549,5,2011-01-31,794
269994,1442597,4,2011-01-31,793
270008,1442723,5,2011-01-31,793
270022,1443132,5,2011-01-31,793
270029,1443151,5,2011-01-31,795
270037,1443323,7,2011-01-31,793
270048,1443325,7,2011-01-31,793
270060,1443327,5,2011-01-31,794
270064,1443335,5,2011-01-31,793
270078,1443341,5,2011-01-31,793
270092,1443342,5,2011-01-31,793
270106,1443350,6,2011-01-31,794
270113,1443351,5,2011-01-31,795
270119,1443364,5,2011-01-31,795
270134,1443371,5,2011-01-31,794
270146,1443372,5,2011-01-31,793
270152,1443375,5,2011-01-31,795
270163,1443383,5,2011-01-31,794
270170,1443391,6,2011-01-31,795
270184,1443395,7,2011-01-31,795
270194,1443400,5,2011-01-31,795
270203,1443401,7,2011-01-31,795
270213,1443406,5,2011-01-31,794
270217,1443408,6,2011-01-31,795
270231,1443409,5,2011-01-31,793
270246,1443423,5,2011-01-31,794
270259,1443430,7,2011-01-31,793
270263,1443439,10,2011-01-31,793
270271,1443449,6,2011-01-31,794
270275,1443456,6,2011-01-31,795
270283,1443458,7,2011-01-31,795
270289,1443462,6,2011-01-31,795
270300,1443466,6,2011-01-31,795
270307,1443472,5,2011-01-31,793
270321,1443476,8,2011-01-31,793
270334,1443489,6,2011-01-31,795
270344,1443490,5,2011-01-31,793
270355,1443494,7,2011-01-31,793
270366,1443497,6,2011-01-31,795
270374,1443506,5,2011-01-31,793
270388,1443507,6,2011-01-31,793
270402,1443513,5,2011-01-31,793
270414,1443515,6,2011-01-31,795
270425,1443517,4,2011-01-31,795
270436,1443520,5,2011-01-31,793
270449,1443528,6,2011-01-31,795
270461,1443538,7,2011-01-31,793
270472,1443554,6,2011-01-31,793
270485,1443581,6,2011-01-31,795
270494,1443594,7,2011-01-31,795
270507,1443607,6,2011-01-31,795
270514,1443613,5,2011-01-31,795
270526,1443617,5,2011-01-31,794
270538,1443621,6,2011-01-31,794
270548,1443623,5,2011-01-31,793
270562,1443627,5,2011-01-31,793
270573,1443629,5,2011-01-31,793
270586,1443645,5,2011-01-31,795
270599,1443649,5,2011-01-31,793
270607,1443678,5,2011-01-31,794
270614,1443681,5,2011-01-31,793
270622,1443708,7,2011-01-31,795
270635,1443728,5,2011-01-31,794
270638,1443732,5,2011-01-31,795
270644,1443741,5,2011-01-31,795
270653,1443752,5,2011-01-31,795
270661,1443763,6,2011-01-31,793
270669,1443780,6,2011-01-31,793
270676,1443787,5,2011-01-31,793
270685,1443795,5,2011-01-31,793
270696,1443798,5,2011-01-31,793
270708,1443819,5,2011-01-31,793
270719,1443821,5,2011-01-31,793
270731,1444095,6,2011-01-31,793
270745,1444103,5,2011-01-31,793
270754,1444105,7,2011-01-31,793
270763,1444123,5,2011-01-31,793
270776,1444134,8,2011-01-31,793
270788,1444146,5,2011-01-31,793
270795,1444159,5,2011-01-31,793
270806,1444168,8,2011-01-31,793
270818,1444195,5,2011-01-31,794
270829,1444199,4,2011-01-31,793
270837,1444201,8,2011-01-31,795
270849,1444225,5,2011-01-31,793
270863,1444228,7,2011-01-31,793
270874,1444253,7,2011-01-31,794
270878,1444256,6,2011-01-31,795
270887,1444276,8,2011-01-31,793
270901,1444285,6,2011-01-31,793
270915,1444295,5,2011-01-31,793
270923,1444315,7,2011-01-31,793
270937,1444320,9,2011-01-31,793
270949,1444339,5,2011-01-31,793
270963,1444343,10,2011-01-31,793
270967,1444348,10,2011-01-31,794
270973,1444382,4,2011-01-31,793
270987,1444386,9,2011-01-31,793
271001,1444464,4,2011-01-31,793
271015,1444478,5,2011-01-31,793
271029,1444508,5,2011-01-31,793
271037,1444534,5,2011-01-31,793
271048,1444590,7,2011-01-31,793
271059,1444613,5,2011-01-31,794
271072,1444618,5,2011-01-31,793
271084,1444628,4,2011-01-31,793
271098,1444673,5,2011-01-31,793
271109,1444783,7,2011-01-31,793
271118,1444892,5,2011-01-31,793
271130,1444912,5,2011-01-31,794
271143,1444922,5,2011-01-31,793
271150,1444982,5,2011-01-31,793
271161,1445222,5,2011-01-31,793
271172,1445240,5,2011-01-31,794
271184,1445253,5,2011-01-31,795
271191,1445255,6,2011-01-31,795
271205,1445258,5,2011-01-31,793
271218,1445282,5,2011-01-31,793
271227,1445388,5,2011-01-31,793
271241,1445399,5,2011-01-31,793
271252,1445610,5,2011-01-31,793
271259,1445622,5,2011-01-31,795
271273,1445628,5,2011-01-31,793
271283,1445634,5,2011-01-31,794
271294,1445665,5,2011-01-31,793
271301,1445707,5,2011-01-31,793
271315,1445711,5,2011-01-31,793
271326,1445712,5,2011-01-31,793
271340,1445713,5,2011-01-31,793
271348,1445733,7,2011-01-31,795
271356,1445770,5,2011-01-31,795
271370,1445773,9,2011-01-31,793
271384,1445778,5,2011-01-31,793
271390,1445857,5,2011-01-31,795
271401,1445859,5,2011-01-31,794
271412,1445860,6,2011-01-31,793
271426,1445873,9,2011-01-31,793
271438,1445889,4,2011-01-31,793
271445,1445917,5,2011-01-31,793
271453,1445962,5,2011-01-31,795
271463,1445967,5,2011-01-31,793
271475,1445969,4,2011-01-31,794
271489,1445970,5,2011-01-31,793
271503,1445978,5,2011-01-31,793
271517,1445986,5,2011-01-31,793
271529,1446001,5,2011-01-31,794
271533,1446022,4,2011-01-31,793
271547,1446079,5,2011-01-31,793
271561,1446093,9,2011-01-31,793
271568,1446165,5,2011-01-31,793
271574,1446230,9,2011-01-31,795
271584,1446239,4,2011-01-31,794
271595,1446243,5,2011-01-31,793
271611,1446245,5,2011-01-31,794
271622,1446280,4,2011-01-31,793
271630,1446320,9,2011-01-31,793
271639,1446321,5,2011-01-31,793
271653,1446327,9,2011-01-31,793
271660,1446331,6,2011-01-31,795
271674,1446332,8,2011-01-31,793
271685,1446378,7,2011-01-31,793
271695,1446427,7,2011-01-31,794
271700,1446428,5,2011-01-31,793
271708,1446434,5,2011-01-31,795
271719,1446442,5,2011-01-31,795
271725,1446552,5,2011-01-31,793
271731,1446556,5,2011-01-31,795
271745,1446557,5,2011-01-31,793
271752,1446589,6,2011-01-31,795
271757,1446612,4,2011-01-31,793
271768,1446616,5,2011-01-31,793
271782,1446621,5,2011-01-31,793
271788,1446673,7,2011-01-31,793
271797,1446764,5,2011-01-31,793
271811,1446766,4,2011-01-31,793
271825,1446779,5,2011-01-31,793
271839,1446782,5,2011-01-31,793
271850,1446784,5,2011-01-31,794
271864,1446787,5,2011-01-31,793
271878,1446853,5,2011-01-31,794
271890,1446855,4,2011-01-31,793
271904,1446868,6,2011-01-31,793
271911,1446902,10,2011-01-31,793
271922,1446926,5,2011-01-31,793
271929,1446958,6,2011-01-31,795
271939,1446968,5,2011-01-31,795
271948,1446969,7,2011-01-31,794
271960,1446973,6,2011-01-31,795
271965,1446976,6,2011-01-31,795
271972,1446979,6,2011-01-31,795
271984,1447059,5,2011-01-31,793
271995,1447062,5,2011-01-31,793
272001,1447123,7,2011-01-31,795
272014,1447137,5,2011-01-31,793
272023,1447149,9,2011-01-31,793
272037,1447178,5,2011-01-31,793
272044,1447187,5,2011-01-31,793
272058,1447200,5,2011-01-31,793
272065,1447202,7,2011-01-31,793
272076,1447235,4,2011-01-31,793
272090,1447241,5,2011-01-31,793
272098,1447242,5,2011-01-31,793
272106,1447286,8,2011-01-31,795
272111,1447289,5,2011-01-31,793
272119,1447301,5,2011-01-31,794
272128,1447302,5,2011-01-31,795
272138,1447391,5,2011-01-31,793
272147,1447442,5,2011-01-31,795
272154,1447445,6,2011-01-31,793
272162,1447450,6,2011-01-31,795
272168,1447452,4,2011-01-31,793
272176,1447454,6,2011-01-31,795
272182,1447456,5,2011-01-31,794
272185,1447477,11,2011-01-31,794
272191,1447508,6,2011-01-31,795
272205,1447509,5,2011-01-31,793
272216,1447510,6,2011-01-31,795
272223,1447516,6,2011-01-31,794
272233,1447518,6,2011-01-31,795
272242,1447519,4,2011-01-31,794
272249,1447572,5,2011-01-31,794
272255,1447583,5,2011-01-31,795
272262,1447585,5,2011-01-31,793
272268,1447616,9,2011-01-31,793
272276,1447655,2,2011-01-31,793
272282,1447667,5,2011-01-31,795
272296,1447736,6,2011-01-31,795
272307,1447763,5,2011-01-31,793
272321,1447766,5,2011-01-31,793
272328,1447768,8,2011-01-31,793
272341,1447875,6,2011-01-31,794
272349,1447889,3,2011-01-31,793
272363,1447893,5,2011-01-31,793
272377,1447908,5,2011-01-31,793
272388,1447914,5,2011-01-31,793
272396,1447968,6,2011-01-31,794
272405,1447978,5,2011-01-31,795
272411,1448000,4,2011-01-31,793
272422,1448003,5,2011-01-31,793
272434,1448006,5,2011-01-31,794
272440,1448059,8,2011-01-31,795
272448,1448064,5,2011-01-31,794
272455,1448065,5,2011-01-31,794
272459,1448078,5,2011-01-31,793
272470,1448081,6,2011-01-31,795
272475,1448095,4,2011-01-31,793
272484,1448097,5,2011-01-31,793
272495,1448117,5,2011-01-31,794
272506,1448119,11,2011-01-31,793
272515,1448121,5,2011-01-31,793
272524,1448124,9,2011-01-31,793
272533,1448139,4,2011-01-31,793
272547,1448539,5,2011-01-31,793
272556,1448546,5,2011-01-31,793
272565,1448547,5,2011-01-31,794
272576,1448568,5,2011-01-31,793
