,ident,echelon,period,grade
1682,10937,9,2011-01-31,793
1690,10991,11,2011-01-31,793
1697,11023,8,2011-01-31,794
1703,11050,9,2011-01-31,795
1710,11090,7,2011-01-31,795
1717,11177,5,2011-01-31,793
1731,11211,9,2011-01-31,793
1739,11288,7,2011-01-31,793
1744,11333,8,2011-01-31,795
1758,11435,8,2011-01-31,793
1765,11445,10,2011-01-31,795
1771,11526,4,2011-01-31,796
1785,11606,5,2011-01-31,793
1799,11648,5,2011-01-31,793
1806,11664,11,2011-01-31,793
1812,11777,7,2011-01-31,794
1821,11788,5,2011-01-31,793
1832,11815,5,2011-01-31,793
1841,11829,5,2011-01-31,794
1845,11854,3,2011-01-31,796
1859,11891,7,2011-01-31,793
1866,11962,10,2011-01-31,793
1871,12014,5,2011-01-31,793
1884,12033,9,2011-01-31,795
1895,12158,5,2011-01-31,794
1906,12169,7,2011-01-31,795
1920,12182,9,2011-01-31,793
1923,12201,11,2011-01-31,795
1932,12242,11,2011-01-31,795
1941,12267,7,2011-01-31,795
1947,12320,7,2011-01-31,794
1955,12330,7,2011-01-31,793
1967,12333,6,2011-01-31,794
1981,12368,5,2011-01-31,793
1989,12379,6,2011-01-31,793
1996,12480,8,2011-01-31,793
2001,12544,7,2011-01-31,793
2015,12785,8,2011-01-31,793
2025,12875,10,2011-01-31,795
2036,12876,6,2011-01-31,793
2046,12998,5,2011-01-31,793
2052,13072,6,2011-01-31,796
2059,13085,6,2011-01-31,795
2067,13097,8,2011-01-31,795
2079,13175,7,2011-01-31,796
2093,13341,8,2011-01-31,793
2105,13367,8,2011-01-31,795
2116,13453,7,2011-01-31,793
2126,13474,11,2011-01-31,795
2136,13481,10,2011-01-31,793
2144,13483,11,2011-01-31,795
2155,13491,7,2011-01-31,793
2167,13760,7,2011-01-31,795
2171,13786,5,2011-01-31,795
2182,13923,9,2011-01-31,794
2191,13945,7,2011-01-31,793
2198,14106,8,2011-01-31,795
2212,14146,5,2011-01-31,793
2218,14203,4,2011-01-31,796
2224,14295,10,2011-01-31,793
2236,14309,6,2011-01-31,793
2248,14317,7,2011-01-31,795
2259,14334,9,2011-01-31,793
2266,14339,10,2011-01-31,795
2278,14365,8,2011-01-31,794
2285,14375,11,2011-01-31,795
2297,14394,8,2011-01-31,793
2305,14399,7,2011-01-31,793
2312,14428,6,2011-01-31,795
2318,14432,7,2011-01-31,795
2325,14489,9,2011-01-31,793
2333,14584,6,2011-01-31,796
2346,14594,7,2011-01-31,795
2356,14622,6,2011-01-31,793
2370,14644,11,2011-01-31,793
2386,14645,7,2011-01-31,796
2396,14678,7,2011-01-31,795
2400,14684,11,2011-01-31,794
2407,14699,9,2011-01-31,794
2418,14725,5,2011-01-31,793
2429,14744,11,2011-01-31,793
2436,14749,7,2011-01-31,796
2447,14761,6,2011-01-31,793
2453,14819,9,2011-01-31,795
2458,14851,7,2011-01-31,795
2472,14861,5,2011-01-31,793
2483,14883,6,2011-01-31,793
2496,14894,6,2011-01-31,795
2507,14905,6,2011-01-31,793
2521,14909,6,2011-01-31,793
2535,14937,8,2011-01-31,793
2542,14958,9,2011-01-31,793
2556,15014,5,2011-01-31,793
2562,15115,5,2011-01-31,796
2571,15167,5,2011-01-31,793
2579,15279,4,2011-01-31,796
2590,15280,7,2011-01-31,794
2604,15340,5,2011-01-31,793
2617,15366,6,2011-01-31,793
2626,15467,8,2011-01-31,795
2637,15490,8,2011-01-31,794
2645,15563,6,2011-01-31,793
2651,15711,10,2011-01-31,795
2658,15744,4,2011-01-31,793
2665,15754,6,2011-01-31,796
2671,15762,9,2011-01-31,793
2678,15877,9,2011-01-31,795
2685,15969,10,2011-01-31,795
2697,15979,5,2011-01-31,793
2704,15991,11,2011-01-31,794
2712,16079,7,2011-01-31,795
2722,16165,5,2011-01-31,794
2728,16189,9,2011-01-31,794
2739,16263,5,2011-01-31,793
2750,16299,11,2011-01-31,793
2755,16310,5,2011-01-31,794
2766,16362,6,2011-01-31,795
2772,16364,10,2011-01-31,795
2783,16405,8,2011-01-31,794
2787,16425,6,2011-01-31,796
2797,16483,4,2011-01-31,793
2804,16503,7,2011-01-31,795
2810,16504,7,2011-01-31,795
2819,16687,6,2011-01-31,794
2830,16734,10,2011-01-31,793
2844,16757,11,2011-01-31,793
2851,16853,5,2011-01-31,793
2862,16931,9,2011-01-31,793
2873,16947,8,2011-01-31,795
2887,17341,10,2011-01-31,793
2895,17400,6,2011-01-31,793
2904,17423,7,2011-01-31,793
2914,17485,5,2011-01-31,794
2917,17574,4,2011-01-31,796
2921,17613,8,2011-01-31,794
2926,17624,8,2011-01-31,795
2931,17666,7,2011-01-31,794
2934,17697,8,2011-01-31,793
2946,17743,6,2011-01-31,793
2958,17746,9,2011-01-31,795
2965,17753,9,2011-01-31,793
2976,17755,8,2011-01-31,793
2990,17877,9,2011-01-31,793
2995,17883,9,2011-01-31,794
3003,17912,6,2011-01-31,796
3009,17922,7,2011-01-31,796
3018,17955,9,2011-01-31,793
3028,17968,5,2011-01-31,796
3039,17973,8,2011-01-31,795
3048,17974,6,2011-01-31,795
3054,17985,9,2011-01-31,793
3062,17994,10,2011-01-31,795
3073,18020,8,2011-01-31,793
3079,18040,7,2011-01-31,795
3088,18061,8,2011-01-31,793
3096,18070,9,2011-01-31,795
3106,18131,9,2011-01-31,794
3116,18176,8,2011-01-31,795
3123,18215,7,2011-01-31,795
3137,18344,9,2011-01-31,793
3142,18666,7,2011-01-31,796
3150,18774,9,2011-01-31,793
3156,18775,8,2011-01-31,794
3164,18826,10,2011-01-31,795
3175,18835,5,2011-01-31,793
3183,18845,7,2011-01-31,795
3192,18846,7,2011-01-31,794
3199,18924,9,2011-01-31,795
3210,19009,5,2011-01-31,793
3218,19302,6,2011-01-31,796
3229,19344,7,2011-01-31,796
3235,19356,5,2011-01-31,795
3246,19391,8,2011-01-31,793
3251,19424,3,2011-01-31,796
3262,19516,5,2011-01-31,793
3273,19526,11,2011-01-31,793
3287,19563,8,2011-01-31,793
3296,19571,8,2011-01-31,793
3309,19615,11,2011-01-31,793
3323,19621,9,2011-01-31,793
3337,19699,8,2011-01-31,793
3351,19753,6,2011-01-31,794
3355,20076,8,2011-01-31,793
3362,20089,7,2011-01-31,796
3370,20100,8,2011-01-31,795
3376,20161,6,2011-01-31,795
3380,20206,6,2011-01-31,795
3387,20238,6,2011-01-31,796
3398,20255,11,2011-01-31,793
3402,20284,5,2011-01-31,793
3409,20312,10,2011-01-31,793
3417,20394,6,2011-01-31,793
3425,20414,9,2011-01-31,795
3432,20432,9,2011-01-31,795
3444,20484,7,2011-01-31,796
3454,20491,4,2011-01-31,796
3465,20520,5,2011-01-31,793
3472,20532,9,2011-01-31,795
3476,20552,6,2011-01-31,795
3490,20569,11,2011-01-31,793
3497,20585,7,2011-01-31,796
3503,20646,9,2011-01-31,794
3514,20689,10,2011-01-31,793
3523,20801,9,2011-01-31,793
3533,20811,7,2011-01-31,796
3547,20816,8,2011-01-31,793
3558,20854,5,2011-01-31,793
3569,20962,8,2011-01-31,795
3580,20978,8,2011-01-31,793
3589,20990,9,2011-01-31,793
3595,20993,9,2011-01-31,795
3609,21031,10,2011-01-31,794
3618,21147,6,2011-01-31,796
3632,21174,8,2011-01-31,793
3646,21207,5,2011-01-31,793
3653,21312,9,2011-01-31,793
3659,21501,10,2011-01-31,794
3669,21517,7,2011-01-31,796
3676,21541,5,2011-01-31,793
3688,21634,7,2011-01-31,796
3704,21651,7,2011-01-31,796
3716,21708,7,2011-01-31,793
3727,21726,7,2011-01-31,793
3741,21785,11,2011-01-31,794
3751,21808,7,2011-01-31,796
3757,21840,5,2011-01-31,795
3763,21870,11,2011-01-31,794
3766,21897,8,2011-01-31,794
3775,21950,10,2011-01-31,793
3779,21971,10,2011-01-31,795
3790,21980,6,2011-01-31,793
3798,22005,7,2011-01-31,795
3810,22051,5,2011-01-31,793
3824,22125,6,2011-01-31,794
3830,22174,8,2011-01-31,795
3840,22195,55555,2011-01-31,796
3849,22235,7,2011-01-31,795
3858,22268,8,2011-01-31,793
3867,22322,9,2011-01-31,795
3870,22369,5,2011-01-31,795
3879,22409,8,2011-01-31,793
3893,22439,8,2011-01-31,793
3904,22606,6,2011-01-31,795
3909,22713,9,2011-01-31,794
3917,22723,9,2011-01-31,794
3930,22786,6,2011-01-31,793
3941,22932,11,2011-01-31,795
3947,22966,4,2011-01-31,796
3966,23035,7,2011-01-31,796
3972,23094,7,2011-01-31,794
3978,23136,8,2011-01-31,795
3992,23169,9,2011-01-31,793
4000,23176,7,2011-01-31,795
4012,23219,5,2011-01-31,793
4026,23228,6,2011-01-31,793
4034,23326,7,2011-01-31,795
4039,23358,10,2011-01-31,794
4051,23416,55555,2011-01-31,796
4058,23417,9,2011-01-31,795
4067,23429,8,2011-01-31,795
4071,23491,4,2011-01-31,796
4080,23496,6,2011-01-31,795
4091,23513,5,2011-01-31,793
4102,23533,7,2011-01-31,793
4116,23654,10,2011-01-31,795
4119,23677,5,2011-01-31,796
4124,23688,11,2011-01-31,795
4135,23717,8,2011-01-31,793
4142,23751,8,2011-01-31,793
4148,23837,4,2011-01-31,796
4157,23859,8,2011-01-31,793
4170,23867,6,2011-01-31,793
4176,23904,9,2011-01-31,794
4189,23914,11,2011-01-31,795
4201,24013,5,2011-01-31,794
4209,24049,7,2011-01-31,793
4217,24073,8,2011-01-31,795
4221,24119,11,2011-01-31,794
4225,24213,8,2011-01-31,793
4237,24258,7,2011-01-31,795
4251,24336,11,2011-01-31,793
4261,24340,7,2011-01-31,793
4272,24364,10,2011-01-31,793
4281,24411,8,2011-01-31,795
4288,24417,7,2011-01-31,796
4296,24489,8,2011-01-31,795
4307,24493,5,2011-01-31,793
4316,24496,7,2011-01-31,796
4327,24517,10,2011-01-31,793
4336,24539,7,2011-01-31,793
4348,24552,6,2011-01-31,795
4360,24566,5,2011-01-31,793
4368,24578,4,2011-01-31,796
4377,24584,6,2011-01-31,796
4388,24607,5,2011-01-31,794
4401,24620,5,2011-01-31,793
4407,24631,4,2011-01-31,796
4414,24663,5,2011-01-31,793
4423,24706,11,2011-01-31,793
4433,24734,7,2011-01-31,794
4443,24759,8,2011-01-31,795
4448,24790,7,2011-01-31,795
4462,24852,55555,2011-01-31,796
4476,24871,5,2011-01-31,793
4487,24873,5,2011-01-31,793
4493,24919,6,2011-01-31,793
4502,24921,9,2011-01-31,793
4512,24949,6,2011-01-31,793
4525,24951,6,2011-01-31,795
4534,24952,6,2011-01-31,793
4543,24956,11,2011-01-31,795
4555,24967,7,2011-01-31,796
4569,24998,5,2011-01-31,793
4577,25006,8,2011-01-31,794
4586,25022,6,2011-01-31,793
4593,25201,9,2011-01-31,795
4600,25248,9,2011-01-31,794
4604,25307,8,2011-01-31,794
4612,25343,9,2011-01-31,794
4619,25534,11,2011-01-31,795
4624,25560,5,2011-01-31,793
4635,25573,5,2011-01-31,794
4640,25588,4,2011-01-31,793
4647,25600,11,2011-01-31,794
4652,25662,7,2011-01-31,795
4663,25715,11,2011-01-31,793
4676,25778,8,2011-01-31,793
4688,25806,10,2011-01-31,793
4695,25859,6,2011-01-31,796
4709,25863,11,2011-01-31,795
4718,25912,9,2011-01-31,793
4728,25925,8,2011-01-31,793
4738,25929,5,2011-01-31,793
4750,25942,11,2011-01-31,795
4758,26014,7,2011-01-31,794
4766,26016,7,2011-01-31,795
4780,26217,7,2011-01-31,793
4788,26287,7,2011-01-31,795
4802,26339,10,2011-01-31,793
4816,26366,5,2011-01-31,793
4826,26468,10,2011-01-31,795
4840,26480,7,2011-01-31,793
4850,26493,7,2011-01-31,795
4853,26496,7,2011-01-31,795
4860,26522,7,2011-01-31,793
4864,26584,11,2011-01-31,795
4872,26621,7,2011-01-31,793
4881,26634,5,2011-01-31,795
4890,26643,6,2011-01-31,793
4901,26758,9,2011-01-31,794
4909,26769,5,2011-01-31,796
4918,26777,10,2011-01-31,793
4925,26822,8,2011-01-31,794
4928,26890,6,2011-01-31,796
4935,26895,6,2011-01-31,793
4946,26978,11,2011-01-31,795
4950,27060,10,2011-01-31,793
4958,27093,7,2011-01-31,795
4966,27136,9,2011-01-31,795
4977,27142,6,2011-01-31,793
4984,27431,7,2011-01-31,795
4998,27566,5,2011-01-31,793
5005,27644,9,2011-01-31,793
5017,27708,6,2011-01-31,795
5021,27745,3,2011-01-31,796
5024,27782,4,2011-01-31,796
5033,27804,5,2011-01-31,793
5051,27820,7,2011-01-31,796
5057,27896,4,2011-01-31,796
5070,27907,6,2011-01-31,793
5081,27909,4,2011-01-31,793
5090,27949,7,2011-01-31,796
5100,28025,7,2011-01-31,795
5108,28056,6,2011-01-31,793
5115,28070,5,2011-01-31,793
5121,28088,7,2011-01-31,793
5135,28104,9,2011-01-31,795
5141,28107,9,2011-01-31,795
5155,28130,5,2011-01-31,793
5161,28211,9,2011-01-31,794
5167,28307,10,2011-01-31,795
5173,28315,3,2011-01-31,796
5181,28365,6,2011-01-31,795
5192,28366,5,2011-01-31,793
5206,28408,8,2011-01-31,793
5211,28590,8,2011-01-31,794
5215,28685,5,2011-01-31,793
5226,28723,11,2011-01-31,793
5246,28751,9,2011-01-31,794
5252,28795,7,2011-01-31,794
5266,28824,8,2011-01-31,793
5281,28978,55555,2011-01-31,796
5284,29021,8,2011-01-31,794
5287,29079,4,2011-01-31,796
5301,29092,10,2011-01-31,793
5307,29113,9,2011-01-31,794
5312,29158,5,2011-01-31,796
5316,29227,7,2011-01-31,793
5334,29336,7,2011-01-31,796
5341,29377,7,2011-01-31,795
5345,29402,8,2011-01-31,794
5352,29409,11,2011-01-31,795
5358,29463,11,2011-01-31,795
5369,29483,8,2011-01-31,793
5373,29621,10,2011-01-31,795
5384,29895,6,2011-01-31,793
5402,29923,7,2011-01-31,796
5416,29942,8,2011-01-31,795
5429,29965,11,2011-01-31,795
5441,29986,7,2011-01-31,795
5450,30059,7,2011-01-31,793
5462,30073,7,2011-01-31,795
5478,30121,7,2011-01-31,796
5485,30128,10,2011-01-31,795
5497,30175,5,2011-01-31,793
5502,30204,5,2011-01-31,796
5514,30214,8,2011-01-31,794
5519,30264,5,2011-01-31,795
5524,30382,6,2011-01-31,796
5530,30403,9,2011-01-31,794
5534,30453,11,2011-01-31,794
5543,30479,6,2011-01-31,796
5557,30514,9,2011-01-31,793
5564,30521,7,2011-01-31,795
5571,30554,9,2011-01-31,794
5577,30562,9,2011-01-31,795
5590,30583,6,2011-01-31,795
5603,30647,7,2011-01-31,796
5622,30654,7,2011-01-31,796
5636,30721,10,2011-01-31,793
5647,30775,7,2011-01-31,793
5657,30965,10,2011-01-31,795
5660,31033,8,2011-01-31,795
5674,31111,7,2011-01-31,793
5686,31192,8,2011-01-31,793
5700,31206,9,2011-01-31,793
5711,31209,6,2011-01-31,793
5724,31368,11,2011-01-31,794
5735,31372,9,2011-01-31,793
5746,31388,9,2011-01-31,794
5757,31415,9,2011-01-31,793
5769,31425,9,2011-01-31,794
5772,31492,6,2011-01-31,796
5786,31523,11,2011-01-31,793
5797,31535,9,2011-01-31,795
5800,31544,8,2011-01-31,793
5812,31565,11,2011-01-31,795
5819,31649,8,2011-01-31,795
5828,31735,7,2011-01-31,795
5840,31791,6,2011-01-31,793
5848,31855,8,2011-01-31,794
5852,31867,6,2011-01-31,793
5859,31885,6,2011-01-31,793
5869,31980,10,2011-01-31,793
5882,31994,11,2011-01-31,793
5891,32047,5,2011-01-31,793
5902,32049,5,2011-01-31,794
5910,32156,6,2011-01-31,794
5919,32245,10,2011-01-31,795
5923,32279,6,2011-01-31,796
5929,32319,11,2011-01-31,795
5937,32346,10,2011-01-31,795
5950,32429,5,2011-01-31,793
