,c_netneh,transition,population,cdf
annees_2010_2014_purgees,TTH1,1,104,0.945454545455
annees_2010_2014_purgees,TTH1,3,105,0.954545454545
annees_2010_2014_purgees,TTH2,0,106,0.963636363636
annees_2010_2014_purgees,TTH3,0,107,0.972727272727
annees_2010_2014_purgees,TTM1,0,108,0.981818181818
annees_2010_2014_purgees,TTM2,0,109,0.990909090909
annees_2010_2014_purgees,2661,0,110,1.0
annees_2011_2014,,0,121407,0.175994769749
annees_2011_2014,,1,204879,0.296997969074
annees_2011_2014,TTH1,0,244755,0.354803263978
annees_2011_2014,3001,0,279409,0.405038610794
annees_2011_2014,TAJ1,0,298722,0.433035241863
annees_2011_2014,2432,0,314845,0.456407565309
annees_2011_2014,3256,0,329098,0.477069087736
annees_2011_2014,,2,341021,0.494352981084
annees_2011_2014,TTH1,1,351694,0.509824841665
annees_2011_2014,TTH2,1,361735,0.524380538478
annees_2011_2014,TAJ2,0,371502,0.538539037709
annees_2011_2014,3001,1,380726,0.551910389906
annees_2011_2014,TAJ1,1,389073,0.564010419913
annees_2011_2014,TAJ2,1,396752,0.57514209961
annees_2011_2014,TNJ1,0,403986,0.585628695641
annees_2011_2014,2432,1,411111,0.595957282415
annees_2011_2014,TTH3,0,418154,0.606166999839
annees_2011_2014,1423,0,424525,0.615402568448
annees_2011_2014,TTH1,2,430654,0.624287327513
annees_2011_2014,TTH3,1,436746,0.633118450408
annees_2011_2014,4304,0,442696,0.64174372638
annees_2011_2014,TAT1,0,448129,0.6496195456
annees_2011_2014,TRS3,1,453348,0.65718514481
annees_2011_2014,TTH2,0,458357,0.664446322516
annees_2011_2014,2753,0,463005,0.671184185158
annees_2011_2014,TTM1,0,467254,0.677343646941
annees_2011_2014,TMH2,0,471023,0.682807288141
annees_2011_2014,TTA1,1,474718,0.688163657001
annees_2011_2014,TAR1,1,478368,0.693454792682
annees_2011_2014,TAR1,0,482002,0.698722734343
annees_2011_2014,TMD1,0,485599,0.703937039834
annees_2011_2014,TTA2,0,489063,0.708958545039
annees_2011_2014,TTA1,0,492472,0.713900320802
annees_2011_2014,3002,0,495504,0.718295587483
annees_2011_2014,3256,1,498474,0.722600977338
annees_2011_2014,TTT3,0,501367,0.726794745975
annees_2011_2014,TAJ1,2,504214,0.730921831806
annees_2011_2014,4437,0,506968,0.734914102399
annees_2011_2014,TOJ1,0,509700,0.738874481215
annees_2011_2014,TTG2,0,512366,0.742739184701
annees_2011_2014,TMD1,1,515028,0.746598089683
annees_2011_2014,3121,0,517673,0.750432351018
annees_2011_2014,TAJ3,0,520310,0.754255015344
annees_2011_2014,TOJ1,1,522884,0.757986353219
annees_2011_2014,TRS2,1,525372,0.761593023239
annees_2011_2014,TNJ1,1,527858,0.765196794007
annees_2011_2014,TAT1,1,530304,0.768742579726
annees_2011_2014,1326,0,532700,0.772215884134
annees_2011_2014,3001,2,535011,0.775565970315
annees_2011_2014,TMH1,1,537319,0.778911707616
annees_2011_2014,4207,0,539616,0.782241499029
annees_2011_2014,2801,1,541856,0.785488661749
annees_2011_2014,TAJ2,2,544041,0.788656095026
annees_2011_2014,,3,546182,0.79175974475
annees_2011_2014,TAJ3,1,548249,0.794756122134
annees_2011_2014,TTM1,1,550189,0.797568396989
annees_2011_2014,TTT2,0,552129,0.800380671844
annees_2011_2014,TCJ1,0,554066,0.80318859782
annees_2011_2014,TTH2,2,555962,0.805937089122
annees_2011_2014,TMP1,0,557771,0.808559462942
annees_2011_2014,TRS3,2,559554,0.811144146482
annees_2011_2014,3005,0,561314,0.813695488618
annees_2011_2014,1423,1,563023,0.816172899818
annees_2011_2014,TAR1,2,564709,0.818616969614
annees_2011_2014,TTG1,1,566392,0.821056690532
annees_2011_2014,2440,1,568005,0.823394937615
annees_2011_2014,TAR3,0,569612,0.825724486941
annees_2011_2014,TTA2,1,571217,0.828051137014
annees_2011_2014,2430,1,572810,0.830360391573
annees_2011_2014,TTH4,0,574398,0.832662398001
annees_2011_2014,TPG3,0,575955,0.834919466016
annees_2011_2014,TTT2,1,577495,0.837151890385
annees_2011_2014,3008,0,578968,0.839287189798
annees_2011_2014,4304,1,580432,0.841409442575
annees_2011_2014,2335,0,581889,0.843521547969
annees_2011_2014,TNJ2,0,583309,0.845580017193
annees_2011_2014,TNN1,0,584698,0.847593548004
annees_2011_2014,TAT2,0,586085,0.849604179562
annees_2011_2014,TTG1,0,587445,0.851575671213
annees_2011_2014,2432,2,588801,0.853541364359
annees_2011_2014,TMH1,0,590152,0.855499809374
annees_2011_2014,6012,0,591456,0.857390121957
annees_2011_2014,2611,1,592746,0.859260139773
annees_2011_2014,TRS2,2,593991,0.861064924409
annees_2011_2014,3121,1,595197,0.862813173623
annees_2011_2014,TRS4,1,596363,0.864503437789
annees_2011_2014,TTH3,2,597526,0.866189353075
annees_2011_2014,TCJ2,0,598685,0.867869469857
annees_2011_2014,TPG2,1,599834,0.869535090377
annees_2011_2014,TMA1,0,600947,0.871148524353
annees_2011_2014,TNJ1,2,601996,0.872669182251
annees_2011_2014,TOK1,0,603040,0.874182592019
annees_2011_2014,3256,2,604084,0.875696001786
annees_2011_2014,TMA1,1,605108,0.877180419029
annees_2011_2014,TAR2,1,606108,0.878630045243
annees_2011_2014,TNJ2,1,607095,0.880060826316
annees_2011_2014,4437,1,608075,0.881481460006
annees_2011_2014,TCJ1,1,609054,0.882900644069
annees_2011_2014,2460,1,609997,0.884267641589
annees_2011_2014,TMP1,1,610937,0.88563029023
annees_2011_2014,2334,1,611873,0.886987140366
annees_2011_2014,TPG2,0,612781,0.888303400968
annees_2011_2014,TPG1,1,613675,0.889599366803
annees_2011_2014,2611,0,614563,0.890886634881
annees_2011_2014,TSE1,0,615449,0.892171003707
annees_2011_2014,TNN1,1,616326,0.893442325896
annees_2011_2014,TOK1,1,617168,0.894662911168
annees_2011_2014,TTA3,0,617983,0.895844356533
annees_2011_2014,TCF1,2,618769,0.896983762737
annees_2011_2014,TTM2,0,619547,0.898111571931
annees_2011_2014,TSE1,1,620312,0.899220535985
annees_2011_2014,TOJ1,2,621058,0.90030195714
annees_2011_2014,TON1,1,621800,0.901377579791
annees_2011_2014,2334,0,622541,0.902451752816
annees_2011_2014,2719,1,623281,0.903524476214
annees_2011_2014,TTA3,1,624018,0.904592850733
annees_2011_2014,TAR2,0,624733,0.905629333476
annees_2011_2014,TTT1,1,625444,0.906660017714
annees_2011_2014,TAT2,1,626142,0.907671856812
annees_2011_2014,TAJ3,2,626825,0.908661951516
annees_2011_2014,2801,0,627482,0.909614355938
annees_2011_2014,2700,1,628139,0.910566760361
annees_2011_2014,TCF1,1,628788,0.911507567774
annees_2011_2014,4323,0,629428,0.912435328551
annees_2011_2014,2661,1,630064,0.913357290823
annees_2011_2014,1451,0,630693,0.914269105711
annees_2011_2014,TAT1,2,631300,0.915149028823
annees_2011_2014,1326,1,631903,0.91602315343
annees_2011_2014,TTT1,0,632503,0.916892929158
annees_2011_2014,TPG1,0,633097,0.917754007129
annees_2011_2014,TTT3,1,633686,0.918607836969
annees_2011_2014,3005,1,634258,0.919437023164
annees_2011_2014,TTM1,2,634820,0.920251713096
annees_2011_2014,TCP1,0,635371,0.92105045714
annees_2011_2014,TMH2,2,635908,0.921828906416
annees_2011_2014,TOP1,1,636443,0.922604456441
annees_2011_2014,TTA1,2,636974,0.92337420796
annees_2011_2014,4207,1,637503,0.924141060228
annees_2011_2014,TTH4,1,638028,0.92490211399
annees_2011_2014,TMH2,1,638526,0.925624027844
annees_2011_2014,TMD1,2,639021,0.92634159282
annees_2011_2014,2717,1,639509,0.927049010413
